alert_id,batch_id,monitoring_reference,alert_type,severity,timestamp,sensor_id,detection_method,observed_value,threshold_value
ALERT-00001,ASH-P-2026-001,VEH-001,TEMPERATURE_EXCURSION,WARNING,2026-06-05T18:08:43.985416,IOT-MPU6050-001,AUTO_GENERATED_FROM_SENSOR,35.8,32
ALERT-00002,HAL-P-2026-002,VEH-002,HUMIDITY_EXCURSION,WARNING,2026-06-05T19:08:43.985416,IOT-MPU6050-001,AUTO_GENERATED_FROM_SENSOR,84.5,80
ALERT-00003,TUL-P-2026-003,VEH-003,LIGHT_EXPOSURE,WARNING,2026-06-05T20:08:43.985416,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,1850,1000
ALERT-00004,NIR-P-2026-004,VEH-004,UNAUTHORIZED_OPENING,CRITICAL,2026-06-05T21:08:43.985416,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,1,0
ALERT-00005,NIM-P-2026-005,VEH-005,SHOCK,CRITICAL,2026-06-05T22:08:43.985416,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,2.8,2
ALERT-00006,MRT-P-2026-006,VEH-001,WEIGHT_CHANGE,CRITICAL,2026-06-05T23:38:43.985416,IOT-DHT22-001,AUTO_GENERATED_FROM_SENSOR,-0.82,0.5
ALERT-00007,MUI-P-2026-007,STR-0008,HUMIDITY_EXCURSION,WARNING,2026-06-18T16:15:58.498428,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,84.36,80
ALERT-00008,ADR-P-2026-008,VEH-002,HUMIDITY_EXCURSION,WARNING,2026-06-30T14:31:03.486463,IOT-MPU6050-001,AUTO_GENERATED_FROM_SENSOR,81.59,80
ALERT-00009,KES-P-2026-009,VEH-003,HUMIDITY_EXCURSION,WARNING,2026-06-30T14:20:41.492268,IOT-BH1750-001,AUTO_GENERATED_FROM_SENSOR,82.89,80
ALERT-00010,SAW-P-2026-010,STR-0009,HUMIDITY_EXCURSION,WARNING,2026-07-03T02:20:41.492268,IOT-BH1750-001,AUTO_GENERATED_FROM_SENSOR,80.04,80
ALERT-00011,ASH-P-2026-001,VEH-004,TEMPERATURE_EXCURSION,WARNING,2026-07-04T13:34:43.445825,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,32.75,32
ALERT-00012,HAL-P-2026-002,VEH-005,TEMPERATURE_EXCURSION,WARNING,2026-07-05T23:04:43.445825,IOT-GPS-001,AUTO_GENERATED_FROM_SENSOR,33.35,32
ALERT-00013,TUL-P-2026-003,STR-0010,TEMPERATURE_EXCURSION,WARNING,2026-07-17T13:57:12.284949,IOT-DHT22-001,AUTO_GENERATED_FROM_SENSOR,32.82,32
ALERT-00014,NIR-P-2026-004,VEH-001,HUMIDITY_EXCURSION,WARNING,2026-08-25T01:21:55.603877,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,81.12,80
ALERT-00015,NIM-P-2026-005,VEH-002,TEMPERATURE_EXCURSION,WARNING,2026-07-09T09:18:43.585363,IOT-DHT22-001,AUTO_GENERATED_FROM_SENSOR,32.8,32
ALERT-00016,MRT-P-2026-006,STR-0011,HUMIDITY_EXCURSION,WARNING,2026-07-16T07:17:10.292620,IOT-BH1750-001,AUTO_GENERATED_FROM_SENSOR,80.18,80
ALERT-00017,MUI-P-2026-007,VEH-003,HUMIDITY_EXCURSION,WARNING,2026-07-27T23:37:25.911683,IOT-GPS-001,AUTO_GENERATED_FROM_SENSOR,80.18,80
ALERT-00018,ADR-P-2026-008,VEH-004,HUMIDITY_EXCURSION,WARNING,2026-08-03T03:55:44.027539,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,80.14,80
ALERT-00019,KES-P-2026-009,VEH-005,HUMIDITY_EXCURSION,WARNING,2026-08-08T21:39:17.854428,IOT-GPS-001,AUTO_GENERATED_FROM_SENSOR,80.72,80
ALERT-00020,SAW-P-2026-010,VEH-001,HUMIDITY_EXCURSION,WARNING,2026-08-22T15:56:45.522554,IOT-GPS-001,AUTO_GENERATED_FROM_SENSOR,81.23,80
ALERT-00021,ASH-P-2026-001,VEH-002,HUMIDITY_EXCURSION,WARNING,2026-08-26T14:52:46.679607,IOT-HX711-001,AUTO_GENERATED_FROM_SENSOR,84.07,80
ALERT-00022,HAL-P-2026-002,VEH-003,HUMIDITY_EXCURSION,WARNING,2026-08-27T05:52:46.679607,IOT-GPS-001,AUTO_GENERATED_FROM_SENSOR,81.06,80
ALERT-00023,TUL-P-2026-003,VEH-004,HUMIDITY_EXCURSION,WARNING,2026-07-19T03:18:05.249896,IOT-DHT22-001,AUTO_GENERATED_FROM_SENSOR,80.97,80
ALERT-00024,NIR-P-2026-004,VEH-005,TEMPERATURE_EXCURSION,WARNING,2026-07-19T04:20:26.624993,IOT-MPU6050-001,AUTO_GENERATED_FROM_SENSOR,32.03,32
ALERT-00025,NIM-P-2026-005,STR-0012,HUMIDITY_EXCURSION,WARNING,2026-07-05T01:05:12.778205,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,85.24,80
ALERT-00026,MRT-P-2026-006,VEH-001,TEMPERATURE_EXCURSION,WARNING,2026-06-10T19:15:12.535070,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,34.9,32
ALERT-00027,MUI-P-2026-007,STR-0013,HUMIDITY_EXCURSION,WARNING,2026-06-10T19:15:12.535070,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,82.4,80
ALERT-00028,ADR-P-2026-008,VEH-002,UNAUTHORIZED_OPENING,CRITICAL,2026-06-15T13:02:33.136547,IOT-LIMIT-001,AUTO_GENERATED_FROM_SENSOR,1,0
ALERT-00029,KES-P-2026-009,VEH-002,WEIGHT_CHANGE,CRITICAL,2026-06-19T12:56:56.842210,IOT-DHT22-001,AUTO_GENERATED_FROM_SENSOR,-0.78,0.5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
