S_No,Scientific_Name,Family,Common_Name,Herbarium_Uses_URL,source_file
101,Ammi visnaga (L.) Lam.,APIACEAE,Toothpick plant (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013755&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
102,Amomum aromaticum Roxb.,ZINGIBERACEAE,Morang elaichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003152&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
103,Amomum subulatum Roxb.,ZINGIBERACEAE,"Bari elachi, Baara aliach (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003153&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
104,Amorphophallus paeoniifolius (Dennst.) Nicolson,ARACEAE,"Suranakanda, Jamikanda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003223&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
105,Ampelocissus areneosa (Laws.) Planch.,VITACEAE,Kauraj,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003612&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
106,Ampelocissus arnottiana (Wight & Arn.) Planch.,VITACEAE,Jangli-angur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003613&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
107,Ampelocissus latifolia (Roxb.) Planch.,VITACEAE,Panibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003610&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
108,Ampelocissus tomentosa (Roth) Planch.,VITACEAE,Atukulabadda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003611&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
109,Anacardium occidentale L.,ANACARDIACEAE,Kaju,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003570&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
110,Anagallis arvensis L.,PRIMULACEAE,Jonkmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009231&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
111,Anamitra cocculus Wight & Arn.,MENISPERMACEAE,Kakamari (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013995&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
112,Ananas comosus (L.) Merr.,BROMELIACEAE,Kazudhachakka (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003133&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
113,Anaphalis neelgerryana DC.,ASTERACEAE,Raktaskandana (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013623&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
114,Andrographis echinoides (L.) Nees,ACANTHACEAE,Birkubat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009045&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
115,Andrographis paniculata (Burm.) Wall. ex Nees,ACANTHACEAE,Kirayat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009046&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
116,Andropogon sorghum (L.) Brot.,POACEAE,Kafir (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003169&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
117,Anemone narcissiflora L.,RANUNCULACEAE,Narcissus anemone (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009954&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
118,Anemone obtusiloba D. Don,RANUNCULACEAE,Ageli (Jaunsar),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009953&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
119,Angelica archangelica L.,APIACEAE,Garden Angelica (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013750&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
