table_name,column_name,data_type,description,required,primary_key,foreign_key
plants,plant_id,object,Stable internal medicinal-plant identifier,True,True,
plants,scientific_name,object,Scientific/botanical name from source reference,False,False,
plants,common_name,object,Primary common name from BSI where available,False,False,
plants,family,object,Botanical family,False,False,
plants,vernacular_names,object,"Common, vernacular, trade and Sanskrit names retained from references",False,False,
plants,medicinal_system,object,Systems indicated by NMPB medicinal-system tags,False,False,
plants,distribution_region,float64,Reserved for verified distribution data; blank when not supplied by source,False,False,
plants,medicinal_use,float64,Reserved for verified use data; blank when not supplied by source,False,False,
plants,parts_used,object,Plant parts listed by NMPB,False,False,
plants,habit,object,Plant habit listed by NMPB,False,False,
plants,nmpb_med_system_tag,object,Original NMPB coded medicinal-system tag,False,False,
plants,nmpb_api_sanskrit_names,object,Original NMPB API/Sanskrit name field,False,False,
plants,bsi_herbarium_uses_url,object,BSI herbarium/uses reference URL,False,False,
plants,source_reference,object,Reference source(s) supporting the plant record,False,False,
plants,plant_match_confidence,object,Confidence of conservative BSI/NMPB entity match,False,False,
plants,is_synthetic,bool,Whether the record is synthetic,False,False,
plants,source_bsi_s_no,float64,Original BSI serial number when available,False,False,
plants,source_nmpb_s_no,float64,Original NMPB serial number when available,False,False,
farms,farm_id,object,Synthetic farm identifier,True,True,
farms,farm_name,object,Synthetic farm name,False,False,
farms,location,object,Synthetic coarse location,False,False,
farms,district,object,Synthetic district,False,False,
farms,state,object,Synthetic state label,False,False,
farms,supplier_id,object,Synthetic supplier identifier,False,False,
farms,certification_status,object,Synthetic source certification state,False,False,
farms,is_synthetic,bool,Synthetic-record flag,False,False,
raw_material_batches,raw_batch_id,object,Unique raw herb batch identifier,True,True,
raw_material_batches,plant_id,object,Referenced medicinal plant,False,False,
raw_material_batches,farm_id,object,Source farm,False,False,
raw_material_batches,collection_date,object,Collection date,False,False,
raw_material_batches,quantity,float64,Collected quantity,False,False,
raw_material_batches,unit,object,Quantity unit,False,False,
raw_material_batches,batch_status,object,Current raw-batch status,False,False,
raw_material_batches,created_at,object,Batch creation timestamp,False,False,
raw_material_batches,is_synthetic,bool,Synthetic-record flag,False,False,
processing_batches,processing_batch_id,object,Unique processing-batch identifier,True,True,
processing_batches,processor_id,object,Processor stakeholder,False,False,
processing_batches,processing_date,object,Processing date,False,False,
processing_batches,output_quantity,float64,Processing output quantity,False,False,
processing_batches,unit,object,Quantity unit,False,False,
processing_batches,processing_type,object,Synthetic processing operation label,False,False,
processing_batches,status,object,Processing status,False,False,
processing_batches,is_synthetic,bool,Synthetic-record flag,False,False,
batch_relationships,relationship_id,object,Unique lineage relationship identifier,True,True,
batch_relationships,parent_batch_id,object,Upstream batch,False,False,
batch_relationships,child_batch_id,object,Downstream batch,False,False,
batch_relationships,relationship_type,object,Transformation relationship type,False,False,
batch_relationships,quantity_contributed,float64,Quantity attributed to child batch,False,False,
batch_relationships,timestamp,object,Relationship creation/record timestamp,False,False,
batch_relationships,is_synthetic,bool,Synthetic-record flag,False,False,
transport_events,transport_id,object,Unique shipment identifier,True,True,
transport_events,batch_id,object,Batch carried by shipment; interpreted by transport_stage,False,False,
transport_events,transport_stage,object,"One of RAW_TO_PROCESSOR, PROCESSOR_TO_LAB, LAB_TO_MANUFACTURER",False,False,
transport_events,source,object,Origin stakeholder/location,False,False,
transport_events,destination,object,Destination stakeholder/location,False,False,
transport_events,vehicle_id,object,Vehicle identifier,False,False,
transport_events,transporter_id,object,Logistics stakeholder,False,False,
transport_events,departure_time,object,Shipment departure timestamp,False,False,
transport_events,arrival_time,object,Shipment arrival timestamp,False,False,
transport_events,status,object,Shipment status,False,False,
transport_events,is_synthetic,bool,Synthetic-record flag,False,False,
lab_tests,lab_test_id,object,Unique laboratory test identifier,True,True,
lab_tests,batch_id,object,Tested batch; raw/process or medicine depending on test_stage,False,False,
lab_tests,lab_id,object,Laboratory stakeholder,False,False,
lab_tests,test_stage,object,PRE_MANUFACTURING or POST_MANUFACTURING,False,False,
lab_tests,test_date,object,Test date,False,False,
lab_tests,test_type,object,Test category,False,False,
lab_tests,test_parameters,object,Structured test-result payload,False,False,
lab_tests,result,object,PASS or FAIL,False,False,
lab_tests,certificate_id,object,Synthetic certificate identifier,False,False,
lab_tests,verified_by,object,Lab verifier identifier,False,False,
lab_tests,verification_timestamp,object,Verification timestamp,False,False,
lab_tests,is_synthetic,bool,Synthetic-record flag,False,False,
iot_readings,reading_id,object,Unique project sensor reading,True,True,
iot_readings,batch_id,object,Medicine batch monitored post-lab,False,False,
iot_readings,transport_id,object,Shipment reference when reading is during LAB_TO_MANUFACTURER,False,False,
iot_readings,storage_id,object,Storage-period reference when reading is during manufacturer storage,False,False,
iot_readings,sensor_id,object,Project IoT device identifier,False,False,
iot_readings,timestamp,object,Sensor observation timestamp,False,False,
iot_readings,temperature,float64,Synthetic temperature in Celsius,False,False,
iot_readings,humidity,float64,Synthetic relative humidity percentage,False,False,
iot_readings,latitude,float64,Synthetic demo GPS latitude,False,False,
iot_readings,longitude,float64,Synthetic demo GPS longitude,False,False,
iot_readings,tamper_status,bool,Synthetic tamper/door event flag,False,False,
iot_readings,battery_level,float64,Synthetic device battery percentage,False,False,
iot_readings,alert_status,object,Derived normal/warning/critical/tamper state,False,False,
iot_readings,is_synthetic,bool,Synthetic-record flag,False,False,
storage_events,storage_event_id,object,Manufacturer storage monitoring period,True,True,
storage_events,medicine_batch_id,object,Stored medicine batch,False,False,
storage_events,facility_id,object,Manufacturer storage facility,False,False,
storage_events,sensor_id,object,Assigned sensor,False,False,
storage_events,timestamp,object,Storage monitoring start timestamp,False,False,
storage_events,temperature,float64,Maximum observed temperature summary,False,False,
storage_events,humidity,float64,Maximum observed humidity summary,False,False,
storage_events,tamper_status,bool,Whether tamper occurred in the period,False,False,
storage_events,alert_status,object,Period-level alert state,False,False,
storage_events,is_synthetic,bool,Synthetic-record flag,False,False,
medicine_batches,medicine_batch_id,object,Unique finished-medicine batch identifier,True,True,
medicine_batches,product_name,object,Synthetic product display name,False,False,
medicine_batches,processing_batch_id,object,Upstream processing batch,False,False,
medicine_batches,manufacturer_id,object,Manufacturer stakeholder,False,False,
medicine_batches,manufacturing_date,object,Manufacturing date,False,False,
medicine_batches,manufacturing_timestamp,object,Exact manufacturing timestamp,False,False,
medicine_batches,expiry_date,object,Synthetic expiry date,False,False,
medicine_batches,final_lab_test_id,object,Post-manufacturing laboratory test,False,False,
medicine_batches,final_lab_status,object,Final laboratory result,False,False,
medicine_batches,qr_id,object,Consumer QR identifier,False,False,
medicine_batches,batch_status,object,Release/block status,False,False,
medicine_batches,is_synthetic,bool,Synthetic-record flag,False,False,
consumer_reports,report_id,object,Unique consumer report identifier,True,True,
consumer_reports,medicine_batch_id,object,Reported medicine batch,False,False,
consumer_reports,qr_id,object,QR used for report,False,False,
consumer_reports,reported_at,object,Report timestamp,False,False,
consumer_reports,issue_type,object,Consumer-reported issue category,False,False,
consumer_reports,symptoms,object,Reported symptom summary,False,False,
consumer_reports,description,object,Report narrative,False,False,
consumer_reports,report_status,object,Current report state,False,False,
consumer_reports,is_synthetic,bool,Synthetic-record flag,False,False,
investigations,investigation_id,object,Unique auditor investigation,True,True,
investigations,report_id,object,Triggering consumer report,False,False,
investigations,auditor_id,object,Auditor stakeholder,False,False,
investigations,opened_at,object,Investigation opening time,False,False,
investigations,suspected_stage,object,Stage under investigation,False,False,
investigations,evidence_summary,object,Evidence categories reviewed,False,False,
investigations,root_cause,object,Investigation conclusion; may remain UNKNOWN,False,False,
investigations,investigation_status,object,Investigation state,False,False,
investigations,action_taken,object,Resulting action,False,False,
investigations,closed_at,object,Closure timestamp when closed,False,False,
investigations,is_synthetic,bool,Synthetic-record flag,False,False,
blockchain_events,blockchain_event_id,object,Synthetic blockchain event identifier,True,True,
blockchain_events,event_id,object,Application event reference,False,False,
blockchain_events,batch_id,object,Batch associated with anchored event,False,False,
blockchain_events,batch_type,object,"RAW, PROCESSING or MEDICINE subject type",False,False,
blockchain_events,event_type,object,Critical event type anchored,False,False,
blockchain_events,transaction_id,object,Synthetic transaction reference,False,False,
blockchain_events,blockchain_timestamp,object,Anchor timestamp,False,False,
blockchain_events,data_hash,object,SHA-256 hash of canonical event payload,False,False,
blockchain_events,is_synthetic,bool,Synthetic-record flag,False,False,
