table,rows,required_columns,required_missing_cells,duplicate_rows,unique_id_check,missing_by_column
plants,2300,5,0,0,PASS,{}
farms,15,5,0,0,PASS,{}
raw_material_batches,70,8,0,0,PASS,{}
processing_batches,45,6,0,0,PASS,{}
batch_relationships,109,6,0,0,PASS,{}
transport_events,157,8,0,0,PASS,{}
lab_tests,87,8,0,0,PASS,{}
iot_readings,11128,7,0,0,PASS,{}
storage_events,42,6,0,0,PASS,{}
medicine_batches,42,11,0,0,PASS,{}
consumer_reports,20,6,0,0,PASS,{}
investigations,20,8,0,0,PASS,{}
blockchain_events,375,8,0,0,PASS,{}
