sensor_id,device_id,sensor_type,sensor_name,interface,measurement_type,installation_location,calibration_status,installation_date,status
IOT-DHT22-001,ESP32-001,DHT22,DHT22 Temperature/Humidity Sensor,GPIO,TEMPERATURE_HUMIDITY,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-BH1750-001,ESP32-001,BH1750,BH1750 Digital Light Intensity Sensor,I2C,LIGHT_INTENSITY,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-LIMIT-001,ESP32-001,LEVER_LIMIT_SWITCH,Lever/Limit Switch,GPIO,OPEN_CLOSE,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-MPU60500-001,ESP32-001,MPU6050,MPU6050,I2C,MOTION_ACCELERATION_GYROSCOPE,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-HX711-001,ESP32-001,LOAD_CELL_HX711,Load Cell + HX711,GPIO,WEIGHT,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-GPS-001,ESP32-001,GPS,GPS Module,UART,GEOLOCATION,TRANSPORT_AND_STORAGE,CALIBRATED,8/1/2026,ACTIVE
IOT-DHT22-001,ESP32-002,DHT22,DHT22 Temperature/Humidity Sensor,GPIO,TEMPERATURE_HUMIDITY,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
IOT-BH1750-001,ESP32-002,BH1750,BH1750 Digital Light Intensity Sensor,I2C,LIGHT_INTENSITY,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
IOT-LIMIT-001,ESP32-002,LEVER_LIMIT_SWITCH,Lever/Limit Switch,GPIO,OPEN_CLOSE,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
IOT-MPU60500-001,ESP32-002,MPU6050,MPU6050,I2C,MOTION_ACCELERATION_GYROSCOPE,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
IOT-HX711-001,ESP32-002,LOAD_CELL_HX711,Load Cell + HX711,GPIO,WEIGHT,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
IOT-GPS-001,ESP32-002,GPS,GPS Module,UART,GEOLOCATION,TRANSPORT_AND_STORAGE,CALIBRATED,8/2/2026,ACTIVE
