reading_id,batch_id,storage_id,vehicle_id,timestamp,sensor_id,temperature_c,humidity_percent,light_intensity_lux,switch_status,weight_kg,weight_change_kg,,latitude,longitude,gps_valid,alert_status
READ-000001,ASH-P-2026-001,STR-0001,VEH-001,2026-06-05T16:38:43.985416,IOT-MPU60500-001,22.69,49.88,120.1,CLOSED,5.076,0,,26.661709,87.940199,TRUE,NORMAL
READ-000002,HAL-P-2026-002,STR-0001,VEH-002,2026-06-05T17:08:43.985416,IOT-LIMIT-001,26.52,47.43,112.6,CLOSED,4.889,0,,21.170794,86.997244,TRUE,NORMAL
READ-000003,TUL-P-2026-003,STR-0001,VEH-003,2026-06-05T17:38:43.985416,IOT-BH1750-001,23.91,63.56,107,CLOSED,5.066,0,,20.490946,79.283076,TRUE,NORMAL
READ-000004,NIR-P-2026-004,STR-0001,VEH-004,2026-06-05T18:08:43.985416,IOT-MPU60500-001,35.8,68.69,59,CLOSED,4.954,0,,27.768166,84.157722,TRUE,WARNING
READ-000005,NIM-P-2026-005,STR-0001,VEH-005,2026-06-05T18:38:43.985416,IOT-GPS-001,24.09,51.17,116.1,CLOSED,5.003,0,,26.246254,73.850651,TRUE,NORMAL
READ-000006,MRT-P-2026-006,STR-0001,VEH-001,2026-06-05T19:08:43.985416,IOT-MPU60500-001,25.54,84.5,229.5,CLOSED,4.936,0,,25.346402,70.636865,TRUE,WARNING
READ-000007,MUI-P-2026-007,STR-0001,VEH-002,2026-06-05T19:38:43.985416,IOT-MPU60500-001,22.83,64.69,76.3,CLOSED,5.017,0,,27.433733,84.394128,TRUE,NORMAL
READ-000008,ADR-P-2026-008,STR-0001,VEH-003,2026-06-05T20:08:43.985416,IOT-HX711-001,24.44,63.22,1850,CLOSED,5.074,0,,25.632238,73.608993,TRUE,WARNING
READ-000009,KES-P-2026-009,STR-0001,VEH-004,2026-06-05T20:38:43.985416,IOT-BH1750-001,28.09,56.17,59.9,CLOSED,5.006,0,,28.761927,70.836326,TRUE,NORMAL
READ-000010,SAW-P-2026-010,STR-0001,VEH-005,2026-06-05T21:08:43.985416,IOT-HX711-001,24.65,65.72,145.3,OPEN,5.045,0,,26.251027,72.290835,TRUE,CRITICAL
READ-000011,ASH-P-2026-001,STR-0001,VEH-001,2026-06-05T21:38:43.985416,IOT-BH1750-001,25.76,60.54,114.2,CLOSED,5.08,0,,21.742782,86.587719,TRUE,NORMAL
READ-000012,HAL-P-2026-002,STR-0001,VEH-002,2026-06-05T22:08:43.985416,IOT-HX711-001,21.07,49.27,67.6,CLOSED,5.017,0,,26.041823,87.483721,TRUE,CRITICAL
READ-000013,TUL-P-2026-003,STR-0001,VEH-003,2026-06-05T22:38:43.985416,IOT-MPU60500-001,24.47,63.53,128.9,CLOSED,5.001,0,,27.814841,83.48953,TRUE,NORMAL
READ-000014,NIR-P-2026-004,STR-0001,VEH-004,2026-06-05T23:08:43.985416,IOT-DHT22-001,23.48,53.16,163.7,CLOSED,5.058,0,,20.186875,74.489189,TRUE,NORMAL
READ-000015,NIM-P-2026-005,STR-0001,VEH-005,2026-06-05T23:38:43.985416,IOT-DHT22-001,21.7,57.56,89.6,CLOSED,4.18,-0.82,,28.107929,76.725809,TRUE,CRITICAL
READ-000018,MRT-P-2026-006,STR-0001,VEH-001,2026-06-06T01:08:43.985416,IOT-DHT22-001,25.7,53.75,84.6,CLOSED,5.057,0,,28.6139,77.209,TRUE,NORMAL
READ-000019,MUI-P-2026-007,STR-0001,VEH-002,2026-06-06T01:38:43.985416,IOT-LIMIT-001,24.99,64.28,101.8,CLOSED,5.027,0,,28.182777,74.054002,TRUE,NORMAL
READ-000020,ADR-P-2026-008,STR-0001,VEH-003,2026-06-06T02:08:43.985416,IOT-HX711-001,20.82,54.16,161.3,CLOSED,4.975,0,,23.357056,76.402997,TRUE,NORMAL
READ-000022,KES-P-2026-009,STR-0001,VEH-004,2026-06-06T03:08:43.985416,IOT-HX711-001,24.93,57.44,148.3,CLOSED,5.075,0,,25.438109,70.050168,TRUE,NORMAL
READ-000023,SAW-P-2026-010,STR-0001,VEH-005,2026-06-06T03:38:43.985416,IOT-LIMIT-001,21.5,58.8,152.1,CLOSED,5.04,0,,24.340744,84.890679,TRUE,NORMAL
READ-000024,ASH-P-2026-001,STR-0001,VEH-001,2026-06-06T04:08:43.985416,IOT-DHT22-001,26.32,53.35,144,CLOSED,4.96,0,,24.734782,84.111579,TRUE,NORMAL
READ-000025,HAL-P-2026-002,STR-0001,VEH-002,2026-06-06T04:38:43.985416,IOT-LIMIT-001,24.31,59.11,155.6,CLOSED,4.966,0,,22.984637,76.072472,TRUE,NORMAL
READ-000026,TUL-P-2026-003,STR-0001,VEH-003,2026-06-06T05:08:43.985416,IOT-LIMIT-001,24.82,65.28,87.2,CLOSED,5.028,0,,23.69913,81.070153,TRUE,NORMAL
READ-000028,NIR-P-2026-004,STR-0001,VEH-004,2026-06-06T06:08:43.985416,IOT-BH1750-001,22.15,64.94,129.1,CLOSED,4.868,0,,24.603397,70.057026,TRUE,NORMAL
READ-000029,NIM-P-2026-005,STR-0001,VEH-005,2026-06-06T06:38:43.985416,IOT-DHT22-001,24.04,49.99,92.6,CLOSED,4.949,0,,27.20464,83.109423,TRUE,NORMAL
READ-000030,MRT-P-2026-006,STR-0001,VEH-001,2026-06-06T07:08:43.985416,IOT-BH1750-001,26.84,58.32,99.2,CLOSED,5.029,0,,21.716281,74.298254,TRUE,NORMAL
READ-000035,MUI-P-2026-007,STR-0001,VEH-002,2026-06-06T09:38:43.985416,IOT-GPS-001,24.61,51.72,93.4,CLOSED,5.111,0,,27.78641,73.469834,TRUE,NORMAL
READ-000037,ADR-P-2026-008,STR-0001,VEH-003,2026-06-06T10:38:43.985416,IOT-GPS-001,24.53,49.27,55.2,CLOSED,5,0,,29.148755,82.938008,TRUE,NORMAL
READ-000041,KES-P-2026-009,STR-0001,VEH-004,2026-06-06T12:38:43.985416,IOT-GPS-001,26.6,48.67,136.7,CLOSED,4.969,0,,23.856132,74.683883,TRUE,NORMAL
READ-000047,SAW-P-2026-010,STR-0001,VEH-005,2026-06-06T15:38:43.985416,IOT-GPS-001,25.43,59.06,119.4,CLOSED,5.086,0,,21.428244,73.453683,TRUE,NORMAL
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
