medicine_batch_id,product_name,processing_batch_id,raw_batch_id,plant_id,scientific_name,common_name,family,farm_id,collection_date,raw_quantity_kg,pre_manufacturing_lab_result,pre_lab_certificate_id,lab_to_manufacturer_transport_id,manufacturer_id,manufacturing_date,manufacturing_timestamp,post_manufacturing_lab_result,final_lab_certificate_id,qr_id,final_lab_status,batch_status,source_reference,is_synthetic_supply_chain,max_transport_temperature_c,max_transport_humidity_pct,max_transport_light_lux,transport_open_event,transport_shock_detected,max_transport_weight_change_kg,min_transport_latitude,max_transport_latitude,min_transport_longitude,max_transport_longitude,max_storage_temperature_c,max_storage_humidity_pct,max_storage_light_lux,storage_open_event,storage_shock_detected,max_storage_weight_change_kg
MED-2026-001,"Punir, Asgandh Capsules",ASH-P-2026-001,ASH-2026-001,PLANT-2265,Withania somnifera (L.) Dunal,"Punir, Asgandh",SOLANACEAE,FARM-001,2026-06-01,753.24,PASS,CERT-PRE-0001,TRN-LM-0001,MFG-001,2026-06-05,2026-06-05T14:38:43.985416,PASS,CERT-POST-0001,QR-2026-001,PASS,RELEASED,BSI+NMPB,True,35.8,84.5,1850.0,True,True,0.82,20.013487,29.499822,69.074377,88.409341,27.92,59.66,88.3,False,False,0.0
MED-2026-001,"Punir, Asgandh Capsules",ASH-P-2026-001,ASH-2026-002,PLANT-0638,Curcuma longa L.,"Haldi, Halada",ZINGIBERACEAE,FARM-002,2026-06-02,649.3,PASS,CERT-PRE-0001,TRN-LM-0001,MFG-001,2026-06-05,2026-06-05T14:38:43.985416,PASS,CERT-POST-0001,QR-2026-001,PASS,RELEASED,BSI+NMPB,True,35.8,84.5,1850.0,True,True,0.82,20.013487,29.499822,69.074377,88.409341,27.92,59.66,88.3,False,False,0.0
MED-2026-002,Tulasi Herb Capsules,ASH-P-2026-002,ASH-2026-003,PLANT-1513,Ocimum tenuiflorum L.; [= O. sanctum L.],Tulasi Herb,LAMIACEAE,FARM-003,2026-06-04,788.34,PASS,CERT-PRE-0002,TRN-LM-0002,MFG-002,2026-06-08,2026-06-08T14:31:12.815020,PASS,CERT-POST-0002,QR-2026-002,PASS,RELEASED,NMPB,True,31.4,76.09,209.7,False,False,0.0,20.008805,29.451373,69.029456,88.494182,26.03,55.81,71.0,False,False,0.0
MED-2026-002,Tulasi Herb Capsules,ASH-P-2026-002,ASH-2026-004,PLANT-0246,Bacopa monnieri (L.) Pennell,Nira-brahmi,SCROPHULARIACEAE,FARM-004,2026-06-05,809.31,PASS,CERT-PRE-0002,TRN-LM-0002,MFG-002,2026-06-08,2026-06-08T14:31:12.815020,PASS,CERT-POST-0002,QR-2026-002,PASS,RELEASED,BSI+NMPB,True,31.4,76.09,209.7,False,False,0.0,20.008805,29.451373,69.029456,88.494182,26.03,55.81,71.0,False,False,0.0
MED-2026-003,Nim Capsules,ASH-P-2026-003,ASH-2026-005,PLANT-0243,Azadirachta indica (L.) A.Juss.,Nim,MELIACEAE,FARM-005,2026-06-06,480.64,PASS,CERT-PRE-0003,TRN-LM-0003,MFG-003,2026-06-10,2026-06-10T17:15:12.535070,PASS,CERT-POST-0003,QR-2026-003,PASS,RELEASED,BSI+NMPB,True,30.65,79.39,235.2,False,False,0.0,20.013919,29.49892,69.088784,88.175148,34.9,82.4,104.7,False,False,0.0
MED-2026-003,Nim Capsules,ASH-P-2026-003,ASH-2026-006,PLANT-2129,Tinospora cordifolia (Willd.) Hook.f. & Thomson,"Amrita, Giloe",MENISPERMACEAE,FARM-006,2026-06-07,254.73,PASS,CERT-PRE-0003,TRN-LM-0003,MFG-003,2026-06-10,2026-06-10T17:15:12.535070,PASS,CERT-POST-0003,QR-2026-003,PASS,RELEASED,BSI+NMPB,True,30.65,79.39,235.2,False,False,0.0,20.013919,29.49892,69.088784,88.175148,34.9,82.4,104.7,False,False,0.0
MED-2026-004,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-004,ASH-2026-007,PLANT-0987,Glycyrrhiza glabra L.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,FARM-007,2026-06-08,716.1,PASS,CERT-PRE-0004,TRN-LM-0004,MFG-004,2026-06-12,2026-06-12T15:07:36.829767,PASS,CERT-POST-0004,QR-2026-004,PASS,RELEASED,NMPB,True,31.29,76.51,254.9,False,False,0.0,20.012849,29.484939,69.107716,88.47525,25.9,61.25,116.7,False,False,0.0
MED-2026-004,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-004,ASH-2026-008,PLANT-2289,Zingiber officinale Roscoe,Adrak,ZINGIBERACEAE,FARM-008,2026-06-09,674.37,PASS,CERT-PRE-0004,TRN-LM-0004,MFG-004,2026-06-12,2026-06-12T15:07:36.829767,PASS,CERT-POST-0004,QR-2026-004,PASS,RELEASED,BSI+NMPB,True,31.29,76.51,254.9,False,False,0.0,20.012849,29.484939,69.107716,88.47525,25.9,61.25,116.7,False,False,0.0
MED-2026-005,"Kesar, Zafran Capsules",ASH-P-2026-005,ASH-2026-009,PLANT-0604,Crocus sativus L.,"Kesar, Zafran",IRIDACEAE,FARM-009,2026-06-11,190.97,PASS,CERT-PRE-0005,TRN-LM-0005,MFG-005,2026-06-15,2026-06-15T11:02:33.136547,PASS,CERT-POST-0005,QR-2026-005,PASS,RELEASED,BSI+NMPB,True,30.54,79.89,216.4,False,False,0.0,20.041757,29.432043,69.019922,88.481778,24.4,54.88,113.5,True,False,0.0
MED-2026-005,"Kesar, Zafran Capsules",ASH-P-2026-005,ASH-2026-010,PLANT-0225,Asparagus racemosus Willd.,"Satawar, Satmuli (Beng.)",LILIACEAE,FARM-010,2026-06-12,836.09,PASS,CERT-PRE-0005,TRN-LM-0005,MFG-005,2026-06-15,2026-06-15T11:02:33.136547,PASS,CERT-POST-0005,QR-2026-005,PASS,RELEASED,BSI+NMPB,True,30.54,79.89,216.4,False,False,0.0,20.041757,29.432043,69.019922,88.481778,24.4,54.88,113.5,True,False,0.0
