medicine_batch_id,product_name,processing_batch_id,manufacturer_id,manufacturing_date,manufacturing_timestamp,expiry_date,qr_id,batch_status
MED-2026-001,"Punir, Asgandh Capsules",ASH-P-2026-001,MAN-001,6/5/2026,2026-06-05T14:38:43.985416,6/4/2028,QR-2026-001,RELEASED
MED-2026-002,Tulasi Herb Capsules,ASH-P-2026-002,MAN-002,6/8/2026,2026-06-08T14:31:12.815020,6/7/2028,QR-2026-002,RELEASED
MED-2026-003,Nim Capsules,ASH-P-2026-003,MAN-003,6/10/2026,2026-06-10T17:15:12.535070,6/9/2028,QR-2026-003,RELEASED
MED-2026-004,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-004,MAN-004,6/12/2026,2026-06-12T15:07:36.829767,6/11/2028,QR-2026-004,RELEASED
MED-2026-005,"Kesar, Zafran Capsules",ASH-P-2026-005,MAN-005,6/15/2026,2026-06-15T11:02:33.136547,6/14/2028,QR-2026-005,RELEASED
MED-2026-006,Brahma-manduki Capsules,ASH-P-2026-006,MAN-001,6/17/2026,2026-06-17T14:45:58.498428,6/16/2028,QR-2026-006,RELEASED
MED-2026-007,Bahera Capsules,ASH-P-2026-007,MAN-002,6/19/2026,2026-06-19T10:56:56.842210,6/18/2028,QR-2026-007,RELEASED
MED-2026-008,"Moth, Bhringga Capsules",ASH-P-2026-008,MAN-003,6/24/2026,2026-06-24T14:52:05.519871,6/23/2028,QR-2026-008,RELEASED
MED-2026-009,Kakoli Capsules,ASH-P-2026-009,MAN-004,6/24/2026,2026-06-24T11:05:39.554445,6/23/2028,QR-2026-009,BLOCKED
MED-2026-010,Jari Capsules,ASH-P-2026-010,MAN-005,6/26/2026,2026-06-26T14:31:03.486463,6/25/2028,QR-2026-010,RELEASED
MED-2026-011,"Punir, Asgandh Capsules",ASH-P-2026-011,MAN-001,6/29/2026,2026-06-29T16:50:41.492268,6/28/2028,QR-2026-011,RELEASED
MED-2026-012,Tulasi Herb Capsules,ASH-P-2026-012,MAN-002,7/3/2026,2026-07-03T11:54:02.512198,7/2/2028,QR-2026-012,RELEASED
MED-2026-013,Thatch grass Capsules,ASH-P-2026-013,MAN-003,7/21/2026,2026-07-21T07:41:51.674600,7/20/2028,QR-2026-013,RELEASED
MED-2026-014,"Moth, Bhringga Capsules",ASH-P-2026-014,MAN-004,7/2/2026,2026-07-02T10:34:43.445825,7/1/2028,QR-2026-014,RELEASED
MED-2026-015,"Amrita, Giloe Capsules",ASH-P-2026-015,MAN-005,7/28/2026,2026-07-28T16:49:48.542147,7/27/2028,QR-2026-015,RELEASED
MED-2026-016,"Kesar, Zafran Capsules",ASH-P-2026-016,MAN-001,8/1/2026,2026-08-01T08:11:41.389943,7/31/2028,QR-2026-016,RELEASED
