botanical,family,trade_name,source,med_sys_tag
Abelmoschus esculentus (L.) Moench; [= Hibiscus esculentus L.],MALVACEAE,Bhendi,C,AFU
Abelmoschus ficulneus (L.) Wight & Arn.; [= Hibiscus ficulneus L.],MALVACEAE,Kattu vendai,W,AF
Abelmoschus moschatus Medik.; [= Hibiscus abelmoschus L.],MALVACEAE,"Muskdana,; Latakasturi",C/W,AFU
Abies pindrow (Royle ex D.Don) Royle,PINACEAE,"Granthiparna,; Talisa",W,A
Abies spectabilis (D.Don) Spach; [ = Abies webbiana Wall. ex D.Don],PINACEAE,Talispatra,W,A
Abrus precatorius L.,FABACEAE,"Chirmati,; Chinnoti,; Gundumani",W,AFHSTU
Abutilon indicum (L.) Sweet; subsp. guineense (Schumach.) Borss.; var. indica Benth.,MALVACEAE,Tutti,W,AFSTU
Acacia caesia (L.) Willd.,MIMOSACEAE,"Incha, Indu,; Singapore; pattai",W,AF
Acacia catechu (L.f.) Willd.,MIMOSACEAE,Katha,W,AFSTU
Acacia chundra (Roxb. ex Rottler) Willd.,MIMOSACEAE,Khadir,W,ATag **
Acacia farnesiana (L.) Willd.,MIMOSACEAE,Irmed,C,AFS
Acacia nilotica (L.) Willd. ex Delile; subsp. indica (Benth.) Brenan; [ = A. arabica (Lam.) Willd.; var. indica Benth.],MIMOSACEAE,"Babul, Keekar",W/C,AS
Acacia sinuata (Lour.) Merr.; [ = A. concinna (Willd.) DC.],MIMOSACEAE,Chikakai; (Shikakai),W,AF
Acalypha fruticosa Forssk.,EUPHORBIACEAE,Cinni,W,FS
Acalypha indica L.,EUPHORBIACEAE,"Khokali,; Arishtamanjari",W,AFHS
Achillea millefolium L.,ASTERACEAE,Brinjasif,C/W,HSUW
Achyranthes aspera L.,AMARANTHACEAE,Apamarga,W,AFHSTU
Achyranthes bidentata Blume,AMARANTHACEAE,Apamarga,W,AF
Aconitum balfourii Stapf,RANUNCULACEAE,Vatsnabha,W,A
Aconitum bisma (Ham.) Rapaics,RANUNCULACEAE,Bikhma,W,AF
Aconitum chasmanthum Stapf,RANUNCULACEAE,Vatsnabha,W,AH
Aconitum deinorrhizum Stapf,RANUNCULACEAE,Vatsnabha,W,A
Aconitum falconeri Stapf,RANUNCULACEAE,Vatsnabha,W,A
Aconitum ferox Wall. ex Ser.,RANUNCULACEAE,"Vachhnag, Atis",W,AFHSU
Aconitum heterophyllum Wall. ex Royle,RANUNCULACEAE,"Atis, Aconite,; Ativish",W,AFSTU
Aconitum laciniatum Stapf,RANUNCULACEAE,Kalo Bikhmo,W,F
Aconitum spicatum (Bruhl) Stapf,RANUNCULACEAE,Bish,W,F
Aconitum violaceum Jacq. ex Stapf,RANUNCULACEAE,Mitha Telia,W,F
Acorus calamus L.,ARACEAE,"Vach, Vaj,; Calamus roots,; Vekhand",C/W,AFSTUWTag **
Actiniopteris dichotoma Mett.,ACTINIOPTERI-; DACEAE,Mayurpankhi,W,AS
Adansonia digitata L.,BOMBACACEAE,Gorakimli,C,AFSU
Adenanthera pavonina L.,MIMOSACEAE,"Kamboji,; Tamaraka",C/W,AFS
Adenia hondala (Gaertn.) W.J. de Wilde,PASSIFLORACEAE,Vidari,W,
Adhatoda beddomei C.B.Clarke; [= Justicia beddomei (C.B.Clarke),ACANTHACEAE,Vasa,W,A
Adhatoda zeylanica Medik.; [ = A. vasica Nees; Justicia adhatoda L.],ACANTHACEAE,Adusa,W/C,AFHS
Adiantum capillus-veneris L.,ADIANTACEAE,"Hanraj,; Parshoshan",W,FU
Adiantum philippense L.f.; [ = A. lunulatum Burm.],ADIANTACEAE,Hansraj,W,AF
Adiantum venustum D.Don.,ADIANTACEAE,Hansraj,W,F
Aegle marmelos (L.) Correa,RUTACEAE,"Bael, Belgiri,; Bilva, Vilvam",C/W,AFHSTU
Aerva lanata (L.) Juss.,AMARANTHACEAE,Cheroola,W,AFS
Aesculus indica (Wall. ex Cambess),HIPPOCASTANA-; CEAE,"Indian Horse; Chesnut,; Bankhor; pangar",C/W,F
Ageratum conyzoides L.,ASTERACEAE,"Visamustih,; Goat weed,; Visadodi",W,AFS
Aglaia elaeagnoidea (A.Juss.) Benth.,MELIACEAE,Priyangu,W,AFTag **
Aglaia odorata Lour.,MELIACEAE,"Pishthparni,; Pithavan",C,F
Ailanthus excelsa Roxb.,SIMAROUBACEAE,Aralu,C/W,AFS
Ailanthus triphysa (Dennst.) Alston,SIMAROUBACEAE,Guggula Dhup,C/W,AF
Ainsliaea aptera DC.,ASTERACEAE,Sathjalani,W,F
Ajuga bracteosa Benth.,LAMIACEAE,Nilkanti,W,F
Alangium salvifolium (L.f.) Wang.,ALANGIACEAE,"Ankodah,; Dirghakilaka",W,AFST
Albizia amara (Roxb.) Boivin,MIMOSACEAE,Krishnasirish,W,AFS
Albizia lebbeck (L.) Benth.,MIMOSACEAE,"Vaakaveru,; Shirish",C/W,AFSU
Albizia marginata Merr.,MIMOSACEAE,Sirisah,W,A
Albizia odoratissima (L.f.) Benth.,MIMOSACEAE,Sirisa,C/W,AFS
Alhagi pseudalhagi (M.Bieb.) Desv.,FABACEAE,"Durlabha,; Yavasaka",W,ASTU
Allium ampeloprasum L.,LILIACEAE,"Leek,; Levant garlic",C,FW
Allium cepa L.,LILIACEAE,Onion,C,AFHS-TUW
Allium sativum L.,LILIACEAE,"Lasan,; Velathulli",C,AFHS-TUW
Allium stracheyi Baker,LILIACEAE,Jambu,W,A
Aloe barbadensis Mill.; [ = A. vera (L.) Burm.f.],LILIACEAE,"Ghikanvar,; Kumari",C/W,AFSTUW
Alpinia calcarata (Haw.) Roscoe,ZINGIBERACEAE,"Chittaratha,; Aratha",C,A
Alpinia galanga (L.) Willd.,ZINGIBERACEAE,"Kulinjan,; Rasnamool,; Koshtakulinjan",C/W,AFSUTag **
Alpinia officinarum Hance,ZINGIBERACEAE,Khulinjan,I,ASU
Alstonia scholaris (L.) R.Br.,APOCYNACEAE,Saptaparnachal; (Satveen),W,AFHSTU
Alstonia venenata R.Br.,APOCYNACEAE,"Anadana,; Raja - adana",W,AF
Alternanthera sessilis (L.) R.Br. ex DC.,AMARANTHACEAE,Ponnanganni,W,AFST
Althaea officinalis L.,MALVACEAE,"Khatmi,; Resha-Khatami,; Shilaras",C/W,AFSU
Altingia excelsa Noronha,ALTINGIACEAE,Silaras,C/W,AFSU
Amaranthus paniculatus L.,AMARANTHACEAE,"Chaulai,; Ramdana",C,AS
Amaranthus spinosus L.,AMARANTHACEAE,"Cholai,; Bhandira",W,AFST
Amaranthus tricolor L.; [ = A. gangeticus L.; A. mangostanus L.],AMARANTHACEAE,"Lal sag,; Alpamarisa",C,AS
Ambroma augusta (L.) L.f.,STERCULIACEAE,Ulatkambal,C/W,AFH
Ammannia baccifera L.,LYTHRACEAE,Kurand ghas,W,AS
Ammi majus L.,APIACEAE,Ammi,C,FW
Amomum aromaticum Roxb.,ZINGIBERACEAE,"Bengal; cardamom,; Brhdela",W,A
Amomum kepulaga Sprague,ZINGIBERACEAE,Elachi,I,F
Amomum subulatum Roxb.,ZINGIBERACEAE,Elachi Badi,C/W,AFSTU
Amorphophallus dubius Blume,ARACEAE,Surom (subs.) Herb,Root,
