plant_id,source,source_record_id,scientific_name_in_master,resolution_status
PLANT-0001,BSI,1,Abelmoschus esculentus (L.) Moench,MATCHED
PLANT-0001,NMPB,1,Abelmoschus esculentus (L.) Moench,MATCHED
PLANT-0002,BSI,2,Abelmoschus ficulneus (L.) Wight & Arn.,MATCHED
PLANT-0002,NMPB,2,Abelmoschus ficulneus (L.) Wight & Arn.,MATCHED
PLANT-0003,BSI,3,Abelmoschus manihot (L.) Medik.,BSI_ONLY
PLANT-0004,BSI,4,Abelmoschus moschatus Medik.,MATCHED
PLANT-0004,NMPB,3,Abelmoschus moschatus Medik.,MATCHED
PLANT-0005,NMPB,4,Abies pindrow (Royle ex D.Don) Royle,NMPB_ONLY
PLANT-0006,BSI,5,Abies spectabilis (D. Don) Spach.,MATCHED
PLANT-0006,NMPB,5,Abies spectabilis (D. Don) Spach.,MATCHED
PLANT-0007,BSI,6,Abroma agusta (L.) L.f.,BSI_ONLY
PLANT-0008,BSI,7,Abrus precatorius L.,MATCHED
PLANT-0008,NMPB,6,Abrus precatorius L.,MATCHED
PLANT-0009,BSI,8,Abutilon hirtum (Lam.) Sweet,BSI_ONLY
PLANT-0010,BSI,9,Abutilon indicum (L.) Sweet,MATCHED
PLANT-0010,NMPB,7,Abutilon indicum (L.) Sweet,MATCHED
PLANT-0011,BSI,10,Abutilon pannosum (Forst.) Schlect.,BSI_ONLY
PLANT-0012,BSI,11,Abutilon theophrastii Medik.,BSI_ONLY
PLANT-0013,NMPB,8,Acacia caesia (L.) Willd.,NMPB_ONLY
PLANT-0014,BSI,12,Acacia catechu (L.f.) Willd.,MATCHED
PLANT-0014,NMPB,9,Acacia catechu (L.f.) Willd.,MATCHED
PLANT-0015,NMPB,10,Acacia chundra (Roxb. ex Rottler) Willd.,NMPB_ONLY
PLANT-0016,BSI,13,Acacia farnesiana (L.) Willd.,MATCHED
PLANT-0016,NMPB,11,Acacia farnesiana (L.) Willd.,MATCHED
PLANT-0017,BSI,14,Acacia jacquemontii Benth.,BSI_ONLY
PLANT-0018,BSI,15,Acacia leucophloea (Roxb.) Willd.,BSI_ONLY
PLANT-0019,BSI,16,Acacia modesta Wall.,BSI_ONLY
PLANT-0020,BSI,17,Acacia nilotica (L.) Willd. ex Delile,MATCHED
PLANT-0020,NMPB,12,Acacia nilotica (L.) Willd. ex Delile,MATCHED
PLANT-0021,BSI,18,Acacia pennata (L.) Willd.,BSI_ONLY
PLANT-0022,BSI,19,Acacia rugata (Lam.) Merr.,BSI_ONLY
PLANT-0023,BSI,20,Acacia senegal (L.) Willd.,BSI_ONLY
PLANT-0024,NMPB,13,Acacia sinuata (Lour.) Merr.; [ = A. concinna (Willd.) DC.],NMPB_ONLY
PLANT-0025,BSI,21,Acacia torta (Roxb.) Craib,BSI_ONLY
PLANT-0026,BSI,22,Acalypha fruticosa Forsk.,MATCHED
PLANT-0026,NMPB,14,Acalypha fruticosa Forsk.,MATCHED
PLANT-0027,BSI,23,Acalypha indica L.,MATCHED
PLANT-0027,NMPB,15,Acalypha indica L.,MATCHED
PLANT-0028,BSI,24,Acalypha racemosa Wall. ex Bailley,BSI_ONLY
PLANT-0029,BSI,25,Acampe papillosa (Lindl.) Lindl.,BSI_ONLY
PLANT-0030,BSI,26,Acanthus illicifolius L.,BSI_ONLY
PLANT-0031,BSI,27,Achillea millefolium L.,MATCHED
PLANT-0031,NMPB,16,Achillea millefolium L.,MATCHED
PLANT-0032,BSI,28,Achyranthes aspera L.,MATCHED
PLANT-0032,NMPB,17,Achyranthes aspera L.,MATCHED
PLANT-0033,BSI,29,Achyranthes bidentata Blume,MATCHED
PLANT-0033,NMPB,18,Achyranthes bidentata Blume,MATCHED
PLANT-0034,BSI,30,Aconitum balfourii Stapf,MATCHED
PLANT-0034,NMPB,19,Aconitum balfourii Stapf,MATCHED
PLANT-0035,BSI,31,Aconitum bisma (Buch. -Ham.) Rapaics,MATCHED
PLANT-0035,NMPB,20,Aconitum bisma (Buch. -Ham.) Rapaics,MATCHED
PLANT-0036,BSI,32,Aconitum chasmanthum Holmes ex Stapf,MATCHED
PLANT-0036,NMPB,21,Aconitum chasmanthum Holmes ex Stapf,MATCHED
