plant_id,scientific_name,common_name,family,vernacular_names,medicinal_system,distribution_region,medicinal_use,parts_used,habit,nmpb_med_system_tag,nmpb_api_sanskrit_names,bsi_herbarium_uses_url,source_reference,plant_match_confidence,is_synthetic,source_bsi_s_no,source_nmpb_s_no
PLANT-0001,Abelmoschus esculentus (L.) Moench,"Bhindi, Bhindi tori",MALVACEAE,"Bhindi, Bhindi tori; Bhendi",Ayurveda,,,Fruit (Seed),Shrub,AFU,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003881&column=szBarcode,BSI+NMPB,HIGH,False,1,1
PLANT-0002,Abelmoschus ficulneus (L.) Wight & Arn.,Ran Bhendi,MALVACEAE,Ran Bhendi; Kattu vendai,Ayurveda,,,Fruit (Seed),Shrub,AF,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003882&column=szBarcode,BSI+NMPB,HIGH,False,2,2
PLANT-0003,Abelmoschus manihot (L.) Medik.,"Jangli Bhindi, Kantalo Bhendo (Guj.)",MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003879&column=szBarcode,BSI,SOURCE_ONLY,False,3,
PLANT-0004,Abelmoschus moschatus Medik.,"Muskdana, Kasturi dana",MALVACEAE,"Muskdana, Kasturi dana; Muskdana,; Latakasturi; Kasturilatika",Ayurveda,,,Fruit (Seed),Shrub,AFU,Kasturilatika,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003878&column=szBarcode,BSI+NMPB,HIGH,False,4,3
PLANT-0005,Abies pindrow (Royle ex D.Don) Royle,"Granthiparna,; Talisa",PINACEAE,"Granthiparna,; Talisa",Ayurveda,,,Leaf,Tree,A,,,NMPB,SOURCE_ONLY,False,,4
PLANT-0006,Abies spectabilis (D. Don) Spach.,"Talish patra, Gobra salla (Nepal)",PINACEAE,"Talish patra, Gobra salla (Nepal); Talispatra; Talisa",Ayurveda,,,Leaf,Tree,A,Talisa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009739&column=szBarcode,BSI+NMPB,HIGH,False,5,5
PLANT-0007,Abroma agusta (L.) L.f.,Ulatkambal,STERCULIACEAE,Ulatkambal,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003861&column=szBarcode,BSI,SOURCE_ONLY,False,6,
PLANT-0008,Abrus precatorius L.,"Ratti, Ghungchi",FABACEAE,"Ratti, Ghungchi; Chirmati,; Chinnoti,; Gundumani; Gunja",Ayurveda,,,"Root,; Fruit (Seed)",Climber,AFHSTU,Gunja,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003654&column=szBarcode,BSI+NMPB,HIGH,False,7,6
PLANT-0009,Abutilon hirtum (Lam.) Sweet,Barakanghi,MALVACEAE,Barakanghi,,,,,,,,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003898&column=szBarcode,BSI,SOURCE_ONLY,False,8,
PLANT-0010,Abutilon indicum (L.) Sweet,"Kanghi, Kakahi",MALVACEAE,"Kanghi, Kakahi; Tutti; Atibala",Ayurveda,,,"Leaf, Root",Shrub,AFSTU,Atibala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003895&column=szBarcode,BSI+NMPB,HIGH,False,9,7
