parent_table,parent_column,child_table,child_column,relationship_type
plants,plant_id,raw_material_batches,plant_id,one-to-many
farms,farm_id,raw_material_batches,farm_id,one-to-many
raw_material_batches,raw_batch_id,transport_events,batch_id,one-to-many
raw_material_batches,raw_batch_id,batch_relationships,parent_batch_id,one-to-many
processing_batches,processing_batch_id,batch_relationships,child_batch_id,one-to-many
processing_batches,processing_batch_id,transport_events,batch_id,one-to-many
lab_tests,lab_test_id,medicine_batches,final_lab_test_id,one-to-one/optional
medicine_batches,medicine_batch_id,consumer_reports,medicine_batch_id,one-to-many
consumer_reports,report_id,investigations,report_id,one-to-many
transport_events,transport_id,iot_readings,transport_id,one-to-many
medicine_batches,medicine_batch_id,storage_events,medicine_batch_id,one-to-many
storage_events,storage_id,iot_readings,storage_id,one-to-many
