storage_event_id,medicine_batch_id,facility_id,timestamp,sensor_id,temperature_c,humidity_percent,light_intensity_lux,switch_status,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,shock_detected,tilt_angle_deg,weight_kg,weight_change_kg,latitude,longitude,gps_valid,alert_status
STR-0001,MED-2026-001,MFG-001-STORAGE,2026-06-05T16:38:43.985416,IOT-GPS-001,27.92,59.66,88.3,CLOSED,0.006,-0.022,1.009,0.74,1.91,-0.41,False,0.84,5.028,0.0,28.025034,70.07351,True,NORMAL
STR-0002,MED-2026-002,MFG-002-STORAGE,2026-06-08T16:31:12.815020,IOT-GPS-001,26.03,55.81,71.0,CLOSED,-0.002,0.015,0.99,-1.21,-0.29,-0.51,False,-0.54,5.0,0.0,24.636226,72.744915,True,NORMAL
STR-0003,MED-2026-003,MFG-003-STORAGE,2026-06-10T19:15:12.535070,IOT-LIMIT-001,34.9,82.4,104.7,CLOSED,0.001,-0.039,1.03,-1.93,0.16,0.51,False,0.26,4.985,0.0,28.779987,87.114089,True,WARNING
STR-0004,MED-2026-004,MFG-004-STORAGE,2026-06-12T17:07:36.829767,IOT-MPU6050-001,25.9,61.25,116.7,CLOSED,-0.002,-0.034,1.005,1.04,0.29,0.76,False,-0.6,5.031,0.0,27.047375,79.873365,True,NORMAL
STR-0005,MED-2026-005,MFG-005-STORAGE,2026-06-15T13:02:33.136547,IOT-LIMIT-001,24.4,54.88,113.5,OPEN,0.021,0.034,1.014,-1.69,0.02,-1.04,False,-0.62,5.014,0.0,20.488586,88.494142,True,CRITICAL
STR-0006,MED-2026-006,MFG-001-STORAGE,2026-06-17T16:45:58.498428,IOT-DHT22-001,27.29,61.52,117.5,CLOSED,0.026,0.01,0.991,-0.66,-0.96,-0.18,False,0.93,5.067,0.0,24.070203,77.698,True,NORMAL
STR-0007,MED-2026-007,MFG-002-STORAGE,2026-06-19T12:56:56.842210,IOT-DHT22-001,23.38,47.5,87.0,CLOSED,0.007,-0.031,0.99,-1.36,1.48,-0.74,False,0.0,4.22,-0.78,28.445348,87.428962,True,CRITICAL
STR-0008,MED-2026-008,MFG-003-STORAGE,2026-06-24T16:52:05.519871,IOT-HX711-001,27.97,58.92,63.3,CLOSED,-0.07,-0.001,0.971,-1.5,0.06,0.58,False,-0.54,5.042,0.0,21.316992,87.564343,True,NORMAL
STR-0009,MED-2026-009,MFG-004-STORAGE,2026-06-24T13:05:39.554445,IOT-GPS-001,24.71,54.28,92.3,CLOSED,0.014,-0.012,1.02,-1.16,-0.86,-1.3,False,-0.2,4.977,0.0,20.50577,83.124811,True,NORMAL
STR-0010,MED-2026-010,MFG-005-STORAGE,2026-06-26T16:31:03.486463,IOT-HX711-001,24.19,52.52,71.0,CLOSED,-0.026,0.01,0.984,-0.88,-0.58,0.93,False,0.38,5.064,0.0,20.651464,83.362074,True,NORMAL
STR-0011,MED-2026-011,MFG-001-STORAGE,2026-06-29T18:50:41.492268,IOT-LIMIT-001,26.13,68.03,132.5,CLOSED,-0.022,-0.037,1.004,0.0,2.3,0.12,False,0.31,5.068,0.0,24.330208,81.263811,True,NORMAL
STR-0012,MED-2026-012,MFG-002-STORAGE,2026-07-03T13:54:02.512198,IOT-BH1750-001,25.26,50.92,84.4,CLOSED,-0.02,0.018,1.01,-0.52,-0.1,-0.59,False,0.06,4.995,0.0,26.98263,84.412855,True,NORMAL
STR-0013,MED-2026-013,MFG-003-STORAGE,2026-07-21T09:41:51.674600,IOT-MPU6050-001,27.69,61.29,166.5,CLOSED,0.0,0.028,0.963,0.78,-1.33,1.34,False,-0.82,5.053,0.0,26.57654,78.841074,True,NORMAL
STR-0014,MED-2026-014,MFG-004-STORAGE,2026-07-02T12:34:43.445825,IOT-MPU6050-001,25.78,52.05,91.7,CLOSED,-0.02,0.01,1.008,-0.19,0.46,-0.57,False,-1.66,4.945,0.0,22.493344,84.851945,True,NORMAL
STR-0015,MED-2026-015,MFG-005-STORAGE,2026-07-28T18:49:48.542147,IOT-BH1750-001,27.24,62.93,57.3,CLOSED,-0.014,0.048,0.997,1.28,-0.4,1.19,False,-1.98,5.06,0.0,28.520356,81.783506,True,NORMAL
STR-0016,MED-2026-016,MFG-001-STORAGE,2026-08-01T10:11:41.389943,IOT-HX711-001,23.91,52.78,76.9,CLOSED,-0.003,-0.008,0.967,-0.15,2.0,-0.05,False,-2.05,4.983,0.0,25.789382,85.12071,True,NORMAL
