batch_id,transport_stage,source,destination,vehicle_id,device_id,transporter_id,departure_time,arrival_time,status
ASH-2026-001,RAW_TO_PROCESSOR,FARM-001,PROC-001,VEH-001,ESP32-001,TRN-001,2026-06-01T13:56:31.745600,2026-06-01T21:18:27.517480,DELIVERED
HAL-2026-002,RAW_TO_PROCESSOR,FARM-002,PROC-002,VEH-002,ESP32-002,TRN-002,2026-06-03T02:42:14.438224,2026-06-03T10:28:16.964326,DELIVERED
TUL-2026-003,RAW_TO_PROCESSOR,FARM-003,PROC-003,VEH-003,ESP32-003,TRN-003,2026-06-04T05:24:25.359314,2026-06-04T09:15:02.388205,DELIVERED
NIR-2026-004,RAW_TO_PROCESSOR,FARM-004,PROC-004,VEH-004,ESP32-004,TRN-004,2026-06-05T18:22:55.984863,2026-06-06T00:12:00.795638,DELIVERED
NIM-2026-005,RAW_TO_PROCESSOR,FARM-005,PROC-005,VEH-005,ESP32-005,TRN-001,2026-06-06T22:19:51.016832,2026-06-07T03:56:12.518003,DELIVERED
ASH-P-2026-001,PROCESSOR_TO_LAB,PROC-001,LAB-001,VEH-001,ESP32-001,TRN-001,2026-06-04T13:20:36.235134,2026-06-04T17:18:35.492347,DELIVERED
HAL-P-2026-002,PROCESSOR_TO_LAB,PROC-002,LAB-002,VEH-002,ESP32-002,TRN-002,2026-06-07T16:09:19.830509,2026-06-07T18:47:47.982473,DELIVERED
TUL-P-2026-003,PROCESSOR_TO_LAB,PROC-003,LAB-003,VEH-003,ESP32-003,TRN-003,2026-06-09T12:18:47.788845,2026-06-09T17:22:39.282584,DELIVERED
NIR-P-2026-004,PROCESSOR_TO_LAB,PROC-004,LAB-004,VEH-004,ESP32-004,TRN-004,2026-06-11T13:27:43.071736,2026-06-11T18:36:48.502084,DELIVERED
NIM-P-2026-005,PROCESSOR_TO_LAB,PROC-005,LAB-001,VEH-005,ESP32-005,TRN-001,2026-06-14T13:05:55.958824,2026-06-14T17:25:39.600436,DELIVERED
ASH-P-2026-001,LAB_TO_MANUFACTURER,LAB-001,MAN-001,VEH-001,ESP32-001,TRN-001,2026-06-04T23:34:03.912886,2026-06-05T07:23:32.285743,DELIVERED
HAL-P-2026-002,LAB_TO_MANUFACTURER,LAB-002,MAN-002,VEH-002,ESP32-002,TRN-002,2026-06-08T03:52:15.583872,2026-06-08T06:43:06.880124,DELIVERED
TUL-P-2026-003,LAB_TO_MANUFACTURER,LAB-003,MAN-003,VEH-003,ESP32-003,TRN-003,2026-06-10T01:35:22.121850,2026-06-10T09:16:07.111905,DELIVERED
NIR-P-2026-004,LAB_TO_MANUFACTURER,LAB-004,MAN-004,VEH-004,ESP32-004,TRN-004,2026-06-12T02:50:55.746350,2026-06-12T07:43:17.144023,DELIVERED
